CANONICAL_VENUE_NAME,ALT_VENUE_NAME,CITY
Dubai International Cricket Stadium,Dubai International Cricket Stadium,Dubai
Eden Gardens,Eden Gardens,Kolkata
Eden Gardens,"Eden Gardens, Kolkata",Kolkata
Feroz Shah Kotla,Feroz Shah Kotla,Delhi
Green Park,Green Park,Kanpur
Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium,Dharamsala
Himachal Pradesh Cricket Association Stadium,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
Holkar Cricket Stadium,Holkar Cricket Stadium,Indore
JSCA International Stadium Complex,Jsca International Stadium Complex,Ranchi
Kingsmead,Kingsmead,Durban
M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bengaluru
M Chinnaswamy Stadium,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
M Chinnaswamy Stadium,M.Chinnaswamy Stadium,Bengaluru
MA Chidambaram Stadium,Ma Chidambaram Stadium,Chennai
MA Chidambaram Stadium,"Ma Chidambaram Stadium, Chepauk",Chennai
MA Chidambaram Stadium,"Ma Chidambaram Stadium, Chepauk, Chennai",Chennai
Maharaja Yadavindra Singh International Cricket Stadium,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium,Pune
Maharashtra Cricket Association Stadium,"Maharashtra Cricket Association Stadium, Pune",Pune
Narendra Modi Stadium,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
Nehru Stadium,Nehru Stadium,Kochi
New Wanderers Stadium,New Wanderers Stadium,Johannesburg
Newlands,Newlands,Cape Town
Outsurance Oval,Outsurance Oval,Bloemfontein
Punjab Cricket Association Stadium,Punjab Cricket Association Is Bindra Stadium,Chandigarh
Punjab Cricket Association Stadium,"Punjab Cricket Association Is Bindra Stadium, Mohali",Chandigarh
Punjab Cricket Association Stadium,"Punjab Cricket Association Is Bindra Stadium, Mohali, Chandigarh",Chandigarh
Punjab Cricket Association Stadium,"Punjab Cricket Association Stadium, Mohali",Chandigarh
Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium,Hyderabad
Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
Rajiv Gandhi International Stadium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
Sardar Patel Stadium,"Sardar Patel Stadium, Motera",Ahmedabad
Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium,Rajkot
Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur
Sawai Mansingh Stadium,"Sawai Mansingh Stadium, Jaipur",Jaipur
Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Stadium,Raipur
Sharjah Cricket Stadium,Sharjah Cricket Stadium,Sharjah
St George's Park,St George's Park,Port Elizabeth
Subrata Roy Sahara Stadium,Subrata Roy Sahara Stadium,Pune
SuperSport Park,Supersport Park,Centurion
Vidarbha Cricket Association Stadium,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
Wankhede Stadium,Wankhede Stadium,Mumbai
Wankhede Stadium,"Wankhede Stadium, Mumbai",Mumbai
Sheikh Zayed Stadium,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
Sheikh Zayed Stadium,Sheikh Zayed Stadium,Abu Dhabi
Arun Jaitley Stadium,Arun Jaitley Stadium,Delhi
Arun Jaitley Stadium,"Arun Jaitley Stadium, Delhi",Delhi
Barabati Stadium,Barabati Stadium,Cuttack
Barsapara Cricket Stadium,"Barsapara Cricket Stadium, Guwahati",Guwahati
Brabourne Stadium,Brabourne Stadium,Mumbai
Brabourne Stadium,"Brabourne Stadium, Mumbai",Mumbai
Buffalo Park,Buffalo Park,East London
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
De Beers Diamond Oval,De Beers Diamond Oval,Kimberley
Dr Dy Patil Sports Academy,Dr Dy Patil Sports Academy,Mumbai
Dr Dy Patil Sports Academy,"Dr Dy Patil Sports Academy, Mumbai",Mumbai
Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Visakhapatnam
Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,"Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium, Visakhapatnam",Visakhapatnam
JSCA International Stadium Complex,JSCA International Stadium Complex,Ranchi
Sharjah Cricket Stadium,Sharjah Cricket Stadium,Sharjah
Dubai International Cricket Stadium,Dubai International Cricket Stadium,Dubai
